#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00001	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1235_1:c(428..1207)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01312	K01703	[EC:4.2.1.33][EC:4.2.1.35]	leuC, IPMI-L	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit	05CQI@bactNOG,0QITV@gproNOG,16PYZ@proNOG,COG0065@NOG	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)			SZUA-1235_77:21139..22557	3-isopropylmalate dehydratase large subunit	K01703	K01703	K01703	K01703	K20930
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01313	K01704	[EC:4.2.1.33][EC:4.2.1.35]	leuD, IPMI-S	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit	05MQS@bactNOG,0QISS@gproNOG,16QQT@proNOG,COG0066@NOG	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)			SZUA-1235_77:22557..23198	3-isopropylmalate dehydratase small subunit	K01704	K01704		K01704	K20453
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01314	K00052	[EC:1.1.1.85]	leuB, IMDH	3-isopropylmalate dehydrogenase	05C0C@bactNOG,0QHS3@gproNOG,16PC5@proNOG,COG0473@NOG	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate (By similarity)			SZUA-1235_77:23230..24300	3-isopropylmalate dehydrogenase	K00052	K00052		K00052	K17753
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01315	K00133	[EC:1.2.1.11]	asd	aspartate-semialdehyde dehydrogenase	05CM3@bactNOG,0QI31@gproNOG,16Q25@proNOG,COG0136@NOG	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate (By similarity)			SZUA-1235_77:24416..25438	Aspartate-semialdehyde dehydrogenase 2	K00133	K00133		K00133	K15017
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01316	K08086		fimV	pilus assembly protein FimV	08N1J@bactNOG,0QMNA@gproNOG,174CZ@proNOG,COG3170@NOG	Tfp pilus assembly protein FimV-like protein			SZUA-1235_77:25538..27790	hypothetical protein	K08086	K08086		K07288	K08086
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01317	K06173	[EC:5.4.99.12]	truA, PUS1	tRNA pseudouridine38-40 synthase	05DI7@bactNOG,0QK7U@gproNOG,16PZQ@proNOG,COG0101@NOG	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs (By similarity)			SZUA-1235_77:27839..28621	tRNA pseudouridine synthase A	K06173	K06173	K06173	K06173	K15452
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01318									SZUA-1235_77:c(28704..28925)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01319									SZUA-1235_77:c(28983..29837)	Chaperone protein DnaJ					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01320	K01817	[EC:5.3.1.24]	trpF	phosphoribosylanthranilate isomerase	08ZGB@bactNOG,0QQWV@gproNOG,17BIG@proNOG,COG0135@NOG	N-(5'phosphoribosyl)anthranilate isomerase			SZUA-1235_77:29848..30462	N-(5'-phosphoribosyl)anthranilate isomerase	K01817	K01817		K01817	K16187
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01321	K01696	[EC:4.2.1.20]	trpB	tryptophan synthase beta chain	05CG0@bactNOG,0QIIF@gproNOG,16PN7@proNOG,COG0133@NOG	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)			SZUA-1235_77:30487..31716	Tryptophan synthase beta chain	K01696	K01696	K01696	K01696	K16187
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01322	K01695	[EC:4.2.1.20]	trpA	tryptophan synthase alpha chain	05F6H@bactNOG,0QIQB@gproNOG,16Q50@proNOG,COG0159@NOG	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)			SZUA-1235_77:31713..32519	Tryptophan synthase alpha chain	K01695	K01695		K00571	K01695
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01323	K01963	[EC:6.4.1.2][EC:2.1.3.15]	accD	acetyl-CoA carboxylase carboxyl transferase subunit beta	07QTG@bactNOG,0QIB6@gproNOG,16QSI@proNOG,COG0777@NOG	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA (By similarity)			SZUA-1235_77:32583..33485	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	K01963	K01963	K01963	K01695	K13932
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01324	K11754	[EC:6.3.2.12][EC:6.3.2.17]	folC	dihydrofolate synthase / folylpolyglutamate synthase	05DPM@bactNOG,0B928@bproNOG,16RVA@proNOG,COG0285@NOG	bifunctional folylpolyglutamate synthase dihydrofolate synthase			SZUA-1235_77:33488..34744	Dihydrofolate synthase/folylpolyglutamate synthase	K11754	K11754	K11754	K11754	K20457
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01325	K03749		dedD	DedD protein	05XIS@bactNOG,0R71T@gproNOG,18A7H@proNOG,COG3147@NOG	Sporulation domain-containing protein			SZUA-1235_77:34763..35353	Cell division protein DedD	K03749	K03749		K03749	K03749
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01326	K03558		cvpA	membrane protein required for colicin V production	05E96@bactNOG,0QR63@gproNOG,16RCQ@proNOG,COG1286@NOG	Colicin v production protein			SZUA-1235_77:35424..35936	Colicin V production protein	K03558	K03558		K03558	K03558
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01327	K00764	[EC:2.4.2.14]	purF, PPAT	amidophosphoribosyltransferase	05CBA@bactNOG,0QIPY@gproNOG,16PS6@proNOG,COG0034@NOG	Glutamine phosphoribosylpyrophosphate amidotransferase			SZUA-1235_77:35942..37459	Amidophosphoribosyltransferase	K00764	K00764	K00764	K00764	K00764
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01328	K10764	[EC:2.5.1.-]	metZ	O-succinylhomoserine sulfhydrylase	05C28@bactNOG,0QIY9@gproNOG,16Q3E@proNOG,COG0626@NOG	Cystathionine gamma-synthase			SZUA-1235_77:37622..38812	O-succinylhomoserine sulfhydrylase	K10764	K10764		K01739	K21173
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01329					06HJQ@bactNOG,0GFR7@delNOG,0HGNK@dproNOG,0YD8I@NOG,173W4@proNOG	Inherit from proNOG: Hyalin repeat protein			SZUA-1235_77:39151..42267	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01330	K02452		gspC	general secretion pathway protein C	08XKW@bactNOG,17AI0@proNOG,COG3031@NOG	General secretion pathway protein C			SZUA-1235_77:42533..43540	Type II secretion system protein C	K02452	K02452		K02452	K02452
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01331					12Q3M@opiNOG,COG0666@NOG,KOG0504@euNOG,KOG4177@euNOG	ankyrin repeat domain			SZUA-1235_77:43580..45988	Phosphocholine transferase AnkX					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01332	K02492	[EC:1.2.1.70]	hemA	glutamyl-tRNA reductase	05C7E@bactNOG,0QIYF@gproNOG,16QC4@proNOG,COG0373@NOG	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA) (By similarity)			SZUA-1235_78:210..1475	Glutamyl-tRNA reductase	K02492	K02492	K02492	K02492	K02492
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01333	K02835		prfA, MTRF1, MRF1	peptide chain release factor 1	05C8K@bactNOG,0QI9Q@gproNOG,16PM9@proNOG,COG0216@NOG	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA (By similarity)			SZUA-1235_78:1475..2557	Peptide chain release factor RF1	K02835	K02835	K02835	K02835	K02835
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01334	K02493	[EC:2.1.1.297]	hemK, prmC, HEMK	release factor glutamine methyltransferase	05EQY@bactNOG,0QIH9@gproNOG,16RMB@proNOG,COG2890@NOG	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif (By similarity)			SZUA-1235_78:2568..3413	Release factor glutamine methyltransferase	K02493	K02493		K02493	K21515
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01335	K21029	[EC:2.7.7.80]	moeB	molybdopterin-synthase adenylyltransferase	05D06@bactNOG,0QIVU@gproNOG,16Q9N@proNOG,COG0476@NOG	Molybdopterin biosynthesis protein (MoeB)			SZUA-1235_78:3383..4156	Molybdopterin-synthase adenylyltransferase	K21029	K21029		K03148	K21147
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01336					075HH@bactNOG,0R6Z9@gproNOG,0Z2XZ@NOG,187BC@proNOG				SZUA-1235_78:c(4153..4356)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01337					07DC8@bactNOG,0ZHA8@NOG,1887H@proNOG				SZUA-1235_78:c(4361..4606)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01338	K03424	[EC:3.1.21.-]	tatD	TatD DNase family protein	05EYA@bactNOG,0QQV1@gproNOG,16XKV@proNOG,COG0084@NOG	Deoxyribonuclease			SZUA-1235_78:c(4672..5457)	putative metal-dependent hydrolase YjjV	K03424	K03424	K03424	K03424	K03424
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01339	K22132		tcdA	tRNA threonylcarbamoyladenosine dehydratase	05CUZ@bactNOG,0QI20@gproNOG,16PW8@proNOG,COG1179@NOG	UBA ThiF-type NAD FAD binding protein			SZUA-1235_78:5516..6307	tRNA threonylcarbamoyladenosine dehydratase	K22132	K22132	K22132		
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01340	K00833	[EC:2.6.1.62]	bioA	adenosylmethionine---8-amino-7-oxononanoate aminotransferase	08JPX@bactNOG,0GT4F@delNOG,0HSGY@dproNOG,173ED@proNOG,COG0161@NOG	Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor (By similarity)			SZUA-1235_78:c(6547..7827)	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	K00833	K00833	K00833	K00833	K21188
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01341									SZUA-1235_78:c(8049..8732)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01342	K00966	[EC:2.7.7.13]	GMPP	mannose-1-phosphate guanylyltransferase	COG1208@NOG	nucleotidyl transferase			SZUA-1235_78:c(8795..9499)	hypothetical protein	K00966			K00966	K21210
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01344	K01866	[EC:6.1.1.1]	YARS, tyrS	tyrosyl-tRNA synthetase	05DA0@bactNOG,0QJHD@gproNOG,16REB@proNOG,COG0162@NOG	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)			SZUA-1235_79:c(1091..2290)	Tyrosine--tRNA ligase	K01866	K01866	K01866	K01866	K01866
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01345	K19304	[EC:3.4.24.-]	mepM	murein DD-endopeptidase	05DR5@bactNOG,0QIY2@gproNOG,16R5F@proNOG,COG0739@NOG	peptidase			SZUA-1235_79:2496..4022	Murein DD-endopeptidase MepM	K19304			K19304	K21472
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01346	K09001	[EC:2.7.1.170]	anmK	anhydro-N-acetylmuramic acid kinase	05ED7@bactNOG,0QI2M@gproNOG,16PPM@proNOG,COG2377@NOG	Catalyzes the specific phosphorylation of 1,6-anhydro-N- acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. Is required for the utilization of anhMurNAc either imported from the medium or derived from its own cell wall murein, and thus plays a role in cell wall recycling (By similarity)			SZUA-1235_79:4050..5153	Anhydro-N-acetylmuramic acid kinase	K09001	K09001		K09001	K09001
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01349	K01886	[EC:6.1.1.18]	QARS, glnS	glutaminyl-tRNA synthetase	05CX6@bactNOG,0QK0D@gproNOG,16PVN@proNOG,COG0008@NOG	glutaminyl-tRNA synthetase			SZUA-1235_80:c(251..1954)	Glutamine--tRNA ligase	K01886	K01886	K01886	K01886	K09698
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01350	K01885	[EC:6.1.1.17]	EARS, gltX	glutamyl-tRNA synthetase	05C20@bactNOG,0QIH4@gproNOG,16PDR@proNOG,COG0008@NOG	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)			SZUA-1235_80:c(1977..3389)	Glutamate--tRNA ligase	K01885	K01885	K01885	K01885	K09698
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01352	K00951	[EC:2.7.6.5]	relA	GTP pyrophosphokinase	05CWR@bactNOG,0QHW3@gproNOG,16PSY@proNOG,COG0317@NOG	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity)			SZUA-1235_80:c(3679..5883)	GTP pyrophosphokinase	K00951	K00951	K00951	K00951	K01139
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01353					05CGQ@bactNOG,0BJSN@bproNOG,16S0U@proNOG,COG4198@NOG	Protein of unknown function (DUF1015)			SZUA-1235_80:c(5896..7092)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01354	K02621	[EC:5.99.1.-]	parC	topoisomerase IV subunit A	05C24@bactNOG,0QII2@gproNOG,16PUJ@proNOG,COG0188@NOG	DNA topoisomerase IV, subunit A			SZUA-1235_80:c(7092..9341)	DNA topoisomerase 4 subunit A	K02621	K02621	K02621	K02469	K03164
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01355	K02622	[EC:5.99.1.-]	parE	topoisomerase IV subunit B	05C7D@bactNOG,0QIIA@gproNOG,16PUV@proNOG,COG0187@NOG	DNA topoisomerase IV, subunit B			SZUA-1235_80:c(9344..11230)	DNA topoisomerase 4 subunit B	K02622	K02622		K02470	K03164
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01356					08WRA@bactNOG,0QR86@gproNOG,11IVC@NOG,17A4X@proNOG	Protein of unknown function (DUF3501)			SZUA-1235_80:c(11400..11999)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01357	K19824		fprB	rubrerythrin	08RAC@bactNOG,0QQEU@gproNOG,17AA9@proNOG,COG1592@NOG	Rubrerythrin			SZUA-1235_80:c(12075..12494)	Rubrerythrin	K19824				K19824
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01358	K03602	[EC:3.1.11.6]	xseB	exodeoxyribonuclease VII small subunit	067QG@bactNOG,0QVYF@gproNOG,17JQB@proNOG,COG1722@NOG	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)			SZUA-1235_80:12695..12928	Exodeoxyribonuclease 7 small subunit	K03602	K03602		K03602	K03602
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01359	K00795	[EC:2.5.1.1][EC:2.5.1.10]	ispA	farnesyl diphosphate synthase	05CTB@bactNOG,0QIHT@gproNOG,16PUE@proNOG,COG0142@NOG	geranyltranstransferase			SZUA-1235_80:12900..13823	Farnesyl diphosphate synthase	K00795	K00795	K00795	K00795	K21275
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01360	K09007	[EC:3.5.4.16]	folE2	GTP cyclohydrolase IB	05DZA@bactNOG,0QN77@gproNOG,16RJT@proNOG,COG1469@NOG	Converts GTP to 7,8-dihydroneopterin triphosphate (By similarity)			SZUA-1235_80:14039..14857	GTP cyclohydrolase FolE2	K09007	K09007	K09007	K09007	K17488
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01361	K02030		ABC.PA.S	polar amino acid transport system substrate-binding protein	05BZU@bactNOG,0ENQX@cloNOG,0ND7U@firmNOG,0XNMH@NOG	Diguanylate cyclase			SZUA-1235_80:15005..17176	putative signaling protein	K02030			K02030	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01362	K01095	[EC:3.1.3.27]	pgpA	phosphatidylglycerophosphatase A	08ZAI@bactNOG,0QSDY@gproNOG,174XQ@proNOG,COG1267@NOG	Phosphatidylglycerophosphatase A			SZUA-1235_80:c(17151..17636)	Phosphatidylglycerophosphatase A	K01095	K01095		K01095	K01095
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01363	K00946	[EC:2.7.4.16]	thiL	thiamine-monophosphate kinase	05CG2@bactNOG,0QI7A@gproNOG,16PWB@proNOG,COG0611@NOG	Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1 (By similarity)			SZUA-1235_80:c(17636..18631)	Thiamine-monophosphate kinase	K00946	K00946		K00946	K00946
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01364	K03625		nusB	N utilization substance protein B	07YIM@bactNOG,0QS2G@gproNOG,17CVY@proNOG,COG0781@NOG	Involved in the transcription termination process (By similarity)			SZUA-1235_80:c(18676..19074)	Transcription antitermination protein NusB	K03625	K03625	K03625	K03625	K03625
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01365	K00794	[EC:2.5.1.78]	ribH, RIB4	6,7-dimethyl-8-ribityllumazine synthase	08UTT@bactNOG,0QKRE@gproNOG,179XR@proNOG,COG0054@NOG	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity)			SZUA-1235_80:c(19074..19547)	6,7-dimethyl-8-ribityllumazine synthase	K00794	K00794		K00794	K00794
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01366	K14652	[EC:4.1.99.12][EC:3.5.4.25]	ribBA	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II	05C66@bactNOG,0QIZ4@gproNOG,16Q65@proNOG,COG0108@NOG,COG0807@NOG	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate (By similarity)			SZUA-1235_80:c(19598..20710)	Riboflavin biosynthesis protein RibBA	K14652	K14652		K14652	K14652
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01367	K00793	[EC:2.5.1.9]	ribE, RIB5	riboflavin synthase	08R6K@bactNOG,0QHUT@gproNOG,16WN4@proNOG,COG0307@NOG	riboflavin synthase, subunit alpha			SZUA-1235_80:c(20725..21381)	Riboflavin synthase	K00793	K00793		K00793	K00793
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01368	K11752	[EC:3.5.4.26][EC:1.1.1.193]	ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	05D1W@bactNOG,0QITR@gproNOG,16PRP@proNOG,COG0117@NOG,COG1985@NOG	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)			SZUA-1235_80:c(21381..22493)	Riboflavin biosynthesis protein RibD	K11752	K11752	K11752	K01498	K14654
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01369	K07738		nrdR	transcriptional repressor NrdR	08Z11@bactNOG,0QR0P@gproNOG,179U8@proNOG,COG1327@NOG	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes (By similarity)			SZUA-1235_80:c(22525..23028)	Transcriptional repressor NrdR	K07738	K07738	K07738	K07738	K07738
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01370	K00600	[EC:2.1.2.1]	glyA, SHMT	glycine hydroxymethyltransferase	05C65@bactNOG,0QI2B@gproNOG,16Q4U@proNOG,COG0112@NOG	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)			SZUA-1235_80:c(23034..24290)	Serine hydroxymethyltransferase 1	K00600	K00600	K00600	K00600	K00600
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01371	K06020	[EC:3.6.3.25]	E3.6.3.25	sulfate-transporting ATPase	05C5H@bactNOG,0QITU@gproNOG,16PJF@proNOG,COG0488@NOG	abc transporter atp-binding protein			SZUA-1235_80:24466..26139	Energy-dependent translational throttle protein EttA	K06020			K06020	K19350
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01372									SZUA-1235_80:26139..26339	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01373	K17224		soxB	sulfur-oxidizing protein SoxB	07RMC@bactNOG,0R8DH@gproNOG,16UIP@proNOG,COG0737@NOG	5'-nucleotidase domain-containing protein			SZUA-1235_80:c(26455..28365)	Mannosylglucosyl-3-phosphoglycerate phosphatase	K17224	K17224		K01081	K17224
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01374					01QYU@aproNOG,05FD1@bactNOG,0XS6R@NOG,16T21@proNOG	membrane			SZUA-1235_80:28475..29644	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01375	K01952	[EC:6.3.5.3]	purL, PFAS	phosphoribosylformylglycinamidine synthase	07QIK@bactNOG,0QHSZ@gproNOG,16PCT@proNOG,COG0046@NOG,COG0047@NOG	Formylglycinamide ribotide synthetase			SZUA-1235_80:c(29645..33547)	Phosphoribosylformylglycinamidine synthase	K01952	K01952	K01952	K01952	K01952
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01376	K07287		bamC	outer membrane protein assembly factor BamC	05GJM@bactNOG,0B7RD@bproNOG,16Q8R@proNOG,COG3317@NOG	(Lipo)protein			SZUA-1235_80:c(33565..34689)	hypothetical protein	K07287	K07287	K07287	K07287	K07287
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01377	K01714	[EC:4.3.3.7]	dapA	4-hydroxy-tetrahydrodipicolinate synthase	05CDP@bactNOG,0QIIB@gproNOG,16PWN@proNOG,COG0329@NOG	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA) (By similarity)			SZUA-1235_80:c(34686..35561)	4-hydroxy-tetrahydrodipicolinate synthase	K01714	K01714		K01714	K21062
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01378	K03567		gcvR	glycine cleavage system transcriptional repressor	05RH4@bactNOG,0QUBB@gproNOG,17AJN@proNOG,COG2716@NOG	Glycine cleavage system transcriptional repressor			SZUA-1235_80:35708..36241	Glycine cleavage system transcriptional repressor	K03567	K03567		K03567	K03567
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01379	K03548		perM	putative permease	05C02@bactNOG,0QHRI@gproNOG,16PBR@proNOG,COG0628@NOG	permease			SZUA-1235_80:c(36238..37299)	Putative transport protein	K03548	K03548	K03548	K03548	K20469
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01380					061KP@bactNOG,0QWFB@gproNOG,126RV@NOG,17N63@proNOG				SZUA-1235_80:c(37303..37674)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01381	K21960		ytlI	LysR family transcriptional regulator, regulator of the ytmI operon	05DUM@bactNOG,0QHSI@gproNOG,16RIX@proNOG,COG0583@NOG	Transcriptional regulator			SZUA-1235_80:c(37655..38566)	HTH-type transcriptional activator CmpR	K21960				K21960
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01382					08TNG@bactNOG,0GF8D@delNOG,11FRZ@NOG,177Z8@proNOG				SZUA-1235_80:c(38777..39697)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01383					08ZCA@bactNOG,0QQYC@gproNOG,179PV@proNOG,COG2210@NOG	Inherit from COG: pyridine nucleotide-disulfide oxidoreductase			SZUA-1235_80:c(39957..40469)	Sulfur carrier protein DsrE2					
