#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00001	K11600		RRP41, EXOSC4, SKI6	exosome complex component RRP41	02H1C@arcNOG,0KR95@eurNOG,COG0689@NOG,arCOG01575@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species			SZUA-1439_1:88..492	Exosome complex component Rrp41	K11600	K11600		K11600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00661	K03059	[EC:2.7.7.6]	rpoP	DNA-directed RNA polymerase subunit P	02I72@arcNOG,0KYNX@eurNOG,COG1996@NOG,arCOG04341@arNOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1439_235:c(5406..5549)	DNA-directed RNA polymerase subunit P	K03059		K03059	K03059	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00662	K02921		RP-L37Ae, RPL37A	large subunit ribosomal protein L37Ae	02I0X@arcNOG,0KUJ9@eurNOG,COG1997@NOG,arCOG04208@arNOG	Binds to the 23S rRNA (By similarity)			SZUA-1439_235:c(5604..5720)	50S ribosomal protein L37Ae	K02921	K02921		K02921	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00663					02I2Q@arcNOG,0KVA8@eurNOG,COG0694@NOG,arCOG03028@arNOG	Nitrogen-fixing NifU			SZUA-1439_236:69..302	Fe/S biogenesis protein NfuA					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00664	K07129		K07129	uncharacterized protein	02H36@arcNOG,0KRG5@eurNOG,COG2108@NOG,arCOG00932@arNOG	Radical SAM domain protein			SZUA-1439_236:423..1439	7-carboxy-7-deazaguanine synthase	K07129	K07129	K07129	K07129	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00665					02I1P@arcNOG,0KU8A@eurNOG,11WPD@NOG,arCOG04419@arNOG	Protein of unknown function (DUF2551)			SZUA-1439_236:1449..1742	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00666	K15888	[EC:2.5.1.89]	uppS, cpdS	tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific]	02H43@arcNOG,0KS3W@eurNOG,COG0020@NOG,arCOG01532@arNOG	Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with geranylgeranyl diphosphate (GGPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30E,34E,38E)-undecaprenyl diphosphate (tritrans,heptacis-UPP). It is probably the precursor of glycosyl carrier lipids (By similarity)			SZUA-1439_236:1745..2500	Tritrans,polycis-undecaprenyl-diphosphate synthase (GGDP specific)	K15888	K15888	K15888	K00806	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00667	K09011	[EC:2.3.1.182]	cimA	(R)-citramalate synthase	02HAP@arcNOG,0KRDE@eurNOG,COG0119@NOG,arCOG02092@arNOG	Catalyzes the condensation of pyruvate and acetyl- coenzyme A to form (R)-citramalate (By similarity)			SZUA-1439_237:165..1634	(R)-citramalate synthase CimA	K09011	K09011	K09011	K01649	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00668	K21672	[EC:1.4.1.12][EC:1.4.1.26]	ord	2,4-diaminopentanoate dehydrogenase	COG3804@NOG,arCOG04374@arNOG	dihydrodipicolinate reductase			SZUA-1439_237:c(1846..2658)	hypothetical protein	K21672	K21672		K00215	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00669	K01591	[EC:4.1.1.23]	pyrF	orotidine-5'-phosphate decarboxylase	0KS2C@eurNOG,COG0284@NOG,arCOG00081@arNOG	Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP) (By similarity)			SZUA-1439_238:277..921	Orotidine 5'-phosphate decarboxylase	K01591	K01591	K01591	K01591	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00670					02I1J@arcNOG,0KY6Z@eurNOG,0YMV3@NOG,arCOG02827@arNOG	Inherit from NOG: Domain of unknown function (DUF1508)			SZUA-1439_238:1057..1758	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00671					02H3H@arcNOG,0KRXH@eurNOG,0YEN9@NOG,arCOG06187@arNOG				SZUA-1439_238:1762..2742	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00672	K07392		PRS2	AAA family ATPase	02H3W@arcNOG,0KRSW@eurNOG,COG1223@NOG,arCOG04163@arNOG	AAA ATPase central domain protein			SZUA-1439_238:2955..4025	Proteasome-activating nucleotidase	K07392	K07392	K07392	K07392	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00673	K04800		rfcL	replication factor C large subunit	0KRTT@eurNOG,COG0470@NOG,arCOG00470@arNOG	Part of the RFC clamp loader complex which loads the PCNA sliding clamp onto DNA (By similarity)			SZUA-1439_238:c(4750..5490)	Replication factor C large subunit	K04800	K04800		K04800	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00674	K03718		asnC	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA	0KV2J@eurNOG,COG1522@NOG,arCOG01580@arNOG	AsnC family transcriptional regulator			SZUA-1439_239:357..779	HTH-type transcriptional regulator Ptr2	K03718	K03718	K03718	K03718	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00675	K01916	[EC:6.3.1.5]	nadE	NAD+ synthase	02HGY@arcNOG,0KSRT@eurNOG,COG0171@NOG,arCOG00069@arNOG	NAD synthase			SZUA-1439_239:c(907..1689)	NH(3)-dependent NAD(+) synthetase	K01916	K01916	K01916	K01916	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00676	K06870		K06870	uncharacterized protein	02HE4@arcNOG,0KUZ6@eurNOG,COG1750@NOG,arCOG01937@arNOG	Lon protease (S16) C-terminal proteolytic domain			SZUA-1439_240:106..999	hypothetical protein	K06870			K06870	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00677					02HKC@arcNOG,0KS1B@eurNOG,COG1836@NOG,arCOG02245@arNOG	Integral membrane protein DUF92			SZUA-1439_240:c(1303..1530)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00678	K02976		RP-S26e, RPS26	small subunit ribosomal protein S26e	02HVT@arcNOG,0KXDC@eurNOG,COG4830@NOG,arCOG04305@arNOG	Ribosomal protein S26e			SZUA-1439_242:542..817	hypothetical protein	K02976			K02976	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00679	K21029	[EC:2.7.7.80]	moeB	molybdopterin-synthase adenylyltransferase	0KS4R@eurNOG,COG0476@NOG,arCOG01676@arNOG	UBA THIF-type NAD FAD binding protein			SZUA-1439_242:c(1013..1780)	SAMP-activating enzyme E1	K21029		K21029	K11996	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00680	K02035		ABC.PE.S	peptide/nickel transport system substrate-binding protein	0KTZM@eurNOG,COG0747@NOG,arCOG01534@arNOG	ABC-type transport system periplasmic substrate-binding protein			SZUA-1439_243:c(182..1549)	hypothetical protein	K02035	K02035		K02035	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00681					124BI@NOG				SZUA-1439_244:c(418..756)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00682					1292W@NOG,arCOG04938@arNOG				SZUA-1439_244:c(753..1124)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00683	K04759		feoB	ferrous iron transport protein B	02HGU@arcNOG,0KRRW@eurNOG,COG0370@NOG,arCOG00359@arNOG	Ferrous iron transport protein B			SZUA-1439_244:c(1126..1761)	Fe(2+) transporter FeoB	K04759	K04759		K04759	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00684					COG0457@NOG,arCOG03045@arNOG	repeat-containing protein			SZUA-1439_245:289..1278	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00685	K00311	[EC:1.5.5.1]	ETFDH	electron-transferring-flavoprotein dehydrogenase	02HAJ@arcNOG,0KRTN@eurNOG,COG0644@NOG,arCOG00570@arNOG	FAD binding domain			SZUA-1439_245:c(1247..1717)	hypothetical protein	K00311			K00311	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00686	K00088	[EC:1.1.1.205]	IMPDH, guaB	IMP dehydrogenase	02HKH@arcNOG,0KTGA@eurNOG,COG0517@NOG,arCOG00606@arNOG	signal transduction protein with CBS domains			SZUA-1439_246:c(351..878)	hypothetical protein	K00088			K00088	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00687	K16318	[EC:2.1.1.256]	trm14	tRNA (guanine6-N2)-methyltransferase	02H7H@arcNOG,0KT0Y@eurNOG,COG0116@NOG,arCOG00048@arNOG	THUMP			SZUA-1439_246:1584..2702	tRNA (guanine(6)-N2)-methyltransferase	K16318	K16318	K16318	K07444	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00688	K13667	[EC:2.4.1.-]	RUMI, KTELC1	protein glucosyltransferase					SZUA-1439_246:c(3034..3264)	hypothetical protein	K13667	K13667			
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00689					0M1YQ@eurNOG,122WW@NOG,arCOG02499@arNOG,arCOG02552@arNOG	Periplasmic copper-binding protein (NosD)			SZUA-1439_246:c(3227..4039)	Cell surface glycoprotein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00690	K01809	[EC:5.3.1.8]	manA, MPI	mannose-6-phosphate isomerase	02I2P@arcNOG,0KX4S@eurNOG,COG1482@NOG,arCOG10219@arNOG	Phosphomannose isomerase type I			SZUA-1439_247:3..671	hypothetical protein	K01809	K01809		K01809	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00691					COG3430@NOG,arCOG02416@arNOG	Protein of unknown function (DUF1628)			SZUA-1439_247:c(842..1360)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00692					0XPJB@NOG,arCOG03874@arNOG	Conserved hypothetical protein 698			SZUA-1439_247:c(2278..2493)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00693					02I6Y@arcNOG,0KUC7@eurNOG,COG2835@NOG,arCOG04124@arNOG	Trm112p-like protein			SZUA-1439_248:764..946	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00694					111MR@NOG,arCOG10231@arNOG				SZUA-1439_249:471..872	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00695	K07033		K07033	uncharacterized protein	0KRZD@eurNOG,COG0719@NOG,arCOG01715@arNOG	sufbd protein			SZUA-1439_249:c(869..1474)	hypothetical protein	K07033	K07033		K07033	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00696									SZUA-1439_250:10..375	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00697	K00567	[EC:2.1.1.63]	ogt, MGMT	methylated-DNA-[protein]-cysteine S-methyltransferase	02I2E@arcNOG,0KUCY@eurNOG,COG0350@NOG,arCOG02724@arNOG	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) in DNA. Repairs alkylated guanine in DNA by stoichiometrically transferring the alkyl group at the O-6 position to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated (By similarity)			SZUA-1439_250:c(708..1163)	Methylated-DNA--protein-cysteine methyltransferase	K00567	K00567	K00567	K00567	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00698	K00952	[EC:2.7.7.1]	nadM	nicotinamide-nucleotide adenylyltransferase	02HGP@arcNOG,0KSZ3@eurNOG,COG1056@NOG,arCOG00972@arNOG	nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1)			SZUA-1439_250:c(1156..1677)	Nicotinamide-nucleotide adenylyltransferase	K00952	K00952	K00952	K00952	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00699	K01151	[EC:3.1.21.2]	nfo	deoxyribonuclease IV	02HAN@arcNOG,0KSFV@eurNOG,COG1082@NOG,arCOG01895@arNOG	protein TIM barrel			SZUA-1439_250:c(1879..2649)	hypothetical protein	K01151			K01151	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00700	K04069	[EC:1.97.1.4]	pflA, pflC, pflE	pyruvate formate lyase activating enzyme	02GWV@arcNOG,0KRTX@eurNOG,COG1180@NOG,arCOG00946@arNOG	Radical SAM domain protein			SZUA-1439_250:2929..3930	hypothetical protein	K04069	K04069	K04069	K04069	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00701	K06953		K06953	uncharacterized protein	02H2B@arcNOG,0KU71@eurNOG,COG1407@NOG,arCOG01150@arNOG	Calcineurin-like phosphoesterase			SZUA-1439_251:c(296..1036)	hypothetical protein	K06953	K06953	K06953	K06953	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00702	K22226		ahbC	12,18-didecarboxysiroheme decarboxylase	02H2Y@arcNOG,0KRT0@eurNOG,COG0535@NOG,arCOG00938@arNOG	Radical SAM domain protein			SZUA-1439_252:c(1390..2490)	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase	K22226		K22226		
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00703	K14654	[EC:1.1.1.302]	RIB7, arfC	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase	02I3T@arcNOG,0KUSK@eurNOG,COG1658@NOG,arCOG01486@arNOG	TOPRIM			SZUA-1439_252:c(2526..2921)	Ribonuclease M5	K14654			K14654	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00704	K10716		kch, trkA, mthK, pch	voltage-gated potassium channel	0KSMM@eurNOG,COG1226@NOG,arCOG01958@arNOG,arCOG01970@arNOG	domain protein			SZUA-1439_252:c(2918..3886)	Calcium-gated potassium channel MthK	K10716	K10716	K10716	K07228	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00705	K02528	[EC:2.1.1.182]	ksgA	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase	02GUH@arcNOG,0KRGZ@eurNOG,COG0030@NOG,arCOG04131@arNOG	Specifically dimethylates two adjacent adenosines in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)			SZUA-1439_253:110..862	putative ribosomal RNA small subunit methyltransferase A	K02528	K02528	K02528	K02528	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00706	K02493	[EC:2.1.1.297]	hemK, prmC, HEMK	release factor glutamine methyltransferase	02HPD@arcNOG,0KTK6@eurNOG,COG2890@NOG,arCOG00109@arNOG	Methyltransferase small domain			SZUA-1439_253:859..1392	putative S-adenosylmethionine-dependent methyltransferase	K02493	K02493	K02493	K02493	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00707									SZUA-1439_253:c(1381..1497)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00708	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	02GZA@arcNOG,0KRIT@eurNOG,COG0024@NOG,arCOG01001@arNOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1439_254:c(435..1298)	Methionine aminopeptidase	K01265	K01265	K01265	K01265	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00709	K03154		thiS	sulfur carrier protein	02I6U@arcNOG,0KVBY@eurNOG,COG2104@NOG,arCOG00535@arNOG	Inherit from arCOG: sulfur carrier protein ThiS			SZUA-1439_254:c(1511..1729)	hypothetical protein	K03154			K03154	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00710									SZUA-1439_254:c(1704..1895)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00711	K00672	[EC:2.3.1.101]	ftr	formylmethanofuran--tetrahydromethanopterin N-formyltransferase	02GYZ@arcNOG,0KRCW@eurNOG,COG2037@NOG,arCOG02695@arNOG	Catalyzes the transfer of a formyl group from 5-formyl tetrahydromethanopterin (5-formyl-H(4)MPT) to methanofuran (MFR) so as to produce formylmethanofuran (formyl-MFR) and tetrahydromethanopterin (H(4)MPT)			SZUA-1439_254:c(2313..3206)	Formylmethanofuran--tetrahydromethanopterin formyltransferase	K00672	K00672	K00672	K00672	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00712					02H7Q@arcNOG,0KS6C@eurNOG,COG0618@NOG,COG1226@NOG,arCOG01566@arNOG	TrkA-N domain protein			SZUA-1439_254:c(3529..4344)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00713	K02601		nusG	transcriptional antiterminator NusG	02HM4@arcNOG,0KT29@eurNOG,COG0250@NOG,arCOG01920@arNOG	Early transcription elongation factor of RNA pol II, NGN section			SZUA-1439_255:c(295..744)	Transcription elongation factor Spt5	K02601	K02601	K02601	K02601	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00714	K07342		SEC61G, SSS1, secE	protein transport protein SEC61 subunit gamma and related proteins	0KUSB@eurNOG,COG2443@NOG,arCOG02204@arNOG	protein transport protein SEC61 gamma subunit homolog			SZUA-1439_255:c(943..1149)	Protein translocase subunit SecE	K07342	K07342		K07342	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00715	K03531		ftsZ	cell division protein FtsZ	0KRFT@eurNOG,COG0206@NOG,arCOG02201@arNOG	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)			SZUA-1439_255:c(1154..2227)	Cell division protein FtsZ 1	K03531	K03531	K03531	K03531	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00716									SZUA-1439_256:502..669	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00717	K02469	[EC:5.99.1.3]	gyrA	DNA gyrase subunit A	02GV8@arcNOG,0KRJZ@eurNOG,COG0188@NOG,arCOG04367@arNOG	DNA gyrase, A subunit			SZUA-1439_257:31..1314	DNA gyrase subunit A	K02469	K02469		K02469	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00718	K07557	[EC:2.6.1.97]	tgtA2	archaeosine synthase	02HHB@arcNOG,0KRCH@eurNOG,COG1549@NOG,arCOG00990@arNOG	Queuine tRNA-ribosyltransferase			SZUA-1439_257:c(1481..2476)	Archaeosine synthase	K07557	K07557		K07557	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00719	K04795		flpA	fibrillarin-like pre-rRNA processing protein	02H75@arcNOG,0KTBJ@eurNOG,COG1889@NOG,arCOG00078@arNOG	Involved in pre-rRNA and tRNA processing. Utilizes the methyl donor S-adenosyl-L-methionine to catalyze the site-specific 2'-hydroxyl methylation of ribose moieties in rRNA and tRNA. Site specificity is provided by a guide RNA that base pairs with the substrate. Methylation occurs at a characteristic distance from the sequence involved in base pairing with the guide RNA			SZUA-1439_258:c(1484..1792)	Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase	K04795	K04795		K04795	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00720									SZUA-1439_259:261..479	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00721	K01609	[EC:4.1.1.48]	trpC	indole-3-glycerol phosphate synthase	0KTMP@eurNOG,1CEGS@thermNOG,COG0134@NOG,arCOG01088@arNOG	Indole-3-glycerol phosphate synthase			SZUA-1439_259:c(571..1260)	Indole-3-glycerol phosphate synthase	K01609	K01609		K01609	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00722					02I7B@arcNOG,0KYMS@eurNOG,1112X@NOG,arCOG10690@arNOG				SZUA-1439_259:c(1390..1740)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00723					02HRN@arcNOG,0KTU9@eurNOG,COG0432@NOG,arCOG04214@arNOG	Uncharacterised protein family UPF0047			SZUA-1439_259:2007..2411	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00724	K02428	[EC:3.6.1.66]	rdgB	XTP/dITP diphosphohydrolase	02HJ0@arcNOG,0KTFE@eurNOG,COG0127@NOG,arCOG04184@arNOG	Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity)			SZUA-1439_259:c(2443..3015)	dITP/XTP pyrophosphatase	K02428	K02428	K02428	K02428	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00725	K01520	[EC:3.6.1.23]	dut, DUT	dUTP pyrophosphatase	0KSWV@eurNOG,COG0717@NOG,COG1720@NOG,arCOG00761@arNOG,arCOG04048@arNOG	This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA (By similarity)			SZUA-1439_260:1380..2225	Deoxyuridine 5'-triphosphate nucleotidohydrolase	K01520	K01520	K01520	K01494	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00726					111MR@NOG,arCOG10231@arNOG				SZUA-1439_261:668..1069	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00727	K07033		K07033	uncharacterized protein	02HI0@arcNOG,0KRZD@eurNOG,COG0719@NOG,arCOG01715@arNOG	Uncharacterized protein family (UPF0051)			SZUA-1439_261:c(1066..2127)	hypothetical protein	K07033	K07033	K07033	K07033	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00728	K09013		sufC	Fe-S cluster assembly ATP-binding protein	02HC5@arcNOG,0KSME@eurNOG,COG0396@NOG,arCOG04236@arNOG	ABC transporter related protein			SZUA-1439_261:c(2106..2222)	hypothetical protein	K09013	K09013		K09013	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00729	K09013		sufC	Fe-S cluster assembly ATP-binding protein	0KSME@eurNOG,COG0396@NOG,arCOG04236@arNOG	ABC transporter			SZUA-1439_261:c(2305..2490)	hypothetical protein	K09013	K09013		K09013	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00730	K03924	[EC:3.6.3.-]	moxR	MoxR-like ATPase	02HTP@arcNOG,0KSR5@eurNOG,COG0714@NOG,arCOG00436@arNOG	ATPase associated with various cellular activities AAA_5			SZUA-1439_262:393..1589	ATPase RavA	K03924	K03924		K03924	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00731					0KRVB@eurNOG,COG1915@NOG,arCOG04422@arNOG	LOR SDH bifunctional protein conserved domain protein			SZUA-1439_263:8..283	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00732									SZUA-1439_263:445..672	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00733					02HKS@arcNOG,0KU5S@eurNOG,COG4031@NOG,arCOG02192@arNOG	Predicted metal-binding protein (DUF2103)			SZUA-1439_263:847..1572	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00734					02H7E@arcNOG,0KVFT@eurNOG,COG0640@NOG,arCOG01448@arNOG	Inherit from COG: Transcriptional regulator, arsr family			SZUA-1439_264:526..1203	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00735	K06864		larE	pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase	05DVM@bactNOG,0EP0B@cloNOG,0NDF6@firmNOG,COG1606@NOG	PP-loop domain protein			SZUA-1439_264:c(1358..2086)	GMP synthase [glutamine-hydrolyzing] subunit B	K06864	K06864		K06864	K06864
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00737	K03136		TFIIE1, GTF2E1, TFA1, tfe	transcription initiation factor TFIIE subunit alpha	02HN1@arcNOG,0KTWF@eurNOG,COG1675@NOG,arCOG04270@arNOG	Transcription factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Facilitates transcription initiation by enhancing TATA-box recognition by TATA-box-binding protein (Tbp), and transcription factor B (Tfb) and RNA polymerase recruitment. Not absolutely required for transcription in vitro, but particularly important in cases where Tbp or Tfb function is not optimal. It dynamically alters the nucleic acid-binding properties of RNA polymerases by stabilizing the initiation complex and destabilizing elongation complexes. Seems to translocate with the RNA polymerase following initiation and acts by binding to the non template strand of the transcription bubble in elongation complexes (By similarity)			SZUA-1439_264:2386..2898	Transcription factor E	K03136	K03136	K03136	K03136	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00738	K06963		TAN1, THUMPD1	tRNA acetyltransferase TAN1	02HCH@arcNOG,0KRUI@eurNOG,COG1818@NOG,arCOG00056@arNOG	THUMP			SZUA-1439_264:3144..4193	tRNA sulfurtransferase	K06963	K06963	K06963	K06963	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00739					02HRU@arcNOG,0KXDS@eurNOG,COG4345@NOG,arCOG03772@arNOG	Uncharacterized protein conserved in archaea (DUF2258)			SZUA-1439_264:4246..4893	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00740	K02257	[EC:2.5.1.141]	COX10, ctaB, cyoE	heme o synthase	02I1H@arcNOG,0KSGW@eurNOG,COG0109@NOG,arCOG00479@arNOG	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group (By similarity)			SZUA-1439_265:69..623	Protoheme IX farnesyltransferase	K02257	K02257		K02301	
